hazard_id,gps_speed_mean,gps_speed_min,accx_5s_mean_mean,accx_5s_min_min,grip_mean,water_layer_thickness_mean,ice_layer_thickness_mean,snow_layer_thickness_mean,black_ice_risk_mean,cluster
18615183.0,0.01748694103152407,0.0,939.6,680.0,0.6844924364173621,0.40516622390663415,0.0,0.0,0.0,1
18615186.0,0.017588122981444704,0.0,928.1025641025642,680.0,0.6840676873449295,0.40750543702216374,0.0,0.0,0.0,1
18615187.0,0.018206947735138625,0.0,917.088888888889,680.0,0.6836294949944339,0.41009451871487634,0.0,0.0,0.0,1
18615189.0,0.018937270072286138,0.0,889.1960784313726,680.0,0.6836174172414861,0.41015342675464256,0.0,0.0,0.0,1
18615192.0,0.03540006319773276,0.0,901.6666666666666,672.0,0.6664910308922394,0.6532777762865718,0.0,0.0,0.0,1
18615194.0,0.056037300171984335,0.0,887.0579710144928,672.0,0.647839344678873,1.0936125624610717,0.0,0.0,0.0,1
18615198.0,0.0710059120137849,0.0,887.0579710144928,672.0,0.6460205655764131,1.0972336397451512,0.0,0.0,0.0,1
18615200.0,0.10090481130858761,0.0,882.0522875816993,672.0,0.6445318408818408,1.0947351638566365,0.0,0.0,0.0,1
18615201.0,0.19289383789021958,0.0,864.297619047619,672.0,0.6395624181941936,1.1023682337058218,0.0,0.0,0.0,1
18615203.0,0.24936223318955592,0.0,801.0777777777778,-340.0,0.6372257684065838,1.105108987803411,0.0,0.0,0.0,0
18615206.0,0.30268408854204754,0.0,742.7708333333334,-348.0,0.6346672954923899,1.1103932782284265,0.0,0.0,0.0,0
18620828.0,4.367586780336333,0.0,-568.0,-568.0,0.5945317152796722,1.0715367121667396,0.0,0.0,0.0,0
18620829.0,4.4928768463402315,0.0,-568.0,-568.0,0.5942368947151231,1.073769384404508,0.0,0.0,0.0,0
18620830.0,4.651212935509737,0.0,-568.0,-568.0,0.5961155828870373,1.0603253940741222,0.0,0.0,0.0,0
18620831.0,4.652567021566091,0.0,-568.0,-568.0,0.5963552052654871,1.0586763609473298,0.0,0.0,0.0,0
18620832.0,5.001412292931675,0.0,-16.0,-568.0,0.5990076294032539,1.040632905393112,0.0,0.0,0.0,0
18620834.0,5.01496046500698,0.0,122.0,-568.0,0.5989892213459475,1.0408527179654823,0.0,0.0,0.0,0
18620835.0,5.535240281327953,0.0,211.42857142857142,-568.0,0.5991851516613146,1.0404128530403463,0.0,0.0,0.0,0
18620836.0,5.6446013589174715,0.0,247.2,-568.0,0.6013015626389303,1.0267955326003793,0.0,0.0,0.0,0
18620837.0,6.07146532992195,0.0,330.6666666666667,-568.0,0.599877408364924,1.0380929966525334,0.0,0.0,0.0,0
18620838.0,6.271738844011998,0.0,330.6666666666667,-568.0,0.5952002071752781,1.0715613517819382,0.0,0.0,0.0,0
18620840.0,6.492118538487896,0.0,330.6666666666667,-568.0,0.5937428481695128,1.0814757063621427,0.0,0.0,0.0,0
